"","x"
"Dnig.1LG0000030.1",14
"Dnig.1LG0000040.1",10
"Dnig.1LG0000050.1",14
"Dnig.1LG0000060.1",6
"Dnig.1LG0000070.1",8
"Dnig.1LG0000100.1",13
"Dnig.1LG0000110.1",8
"Dnig.1LG0000120.1",6
"Dnig.1LG0000130.1",1
"Dnig.1LG0000140.1",1
"Dnig.1LG0000170.1",19
"Dnig.1LG0000190.1",3
"Dnig.1LG0000210.1",9
"Dnig.1LG0000220.1",17
"Dnig.1LG0000280.1",1
"Dnig.1LG0000290.1",10
"Dnig.1LG0000300.1",17
"Dnig.1LG0000310.1",20
"Dnig.1LG0000320.1",10
"Dnig.1LG0000330.1",13
"Dnig.1LG0000340.1",17
"Dnig.1LG0000360.1",15
"Dnig.1LG0000380.1",2
"Dnig.1LG0000390.1",16
"Dnig.1LG0000400.1",6
"Dnig.1LG0000450.1",5
"Dnig.1LG0000460.1",3
"Dnig.1LG0000470.1",3
"Dnig.1LG0000530.1",17
"Dnig.1LG0000540.1",14
"Dnig.1LG0000550.1",20
"Dnig.1LG0000560.1",3
"Dnig.1LG0000580.1",8
"Dnig.1LG0000620.1",6
"Dnig.1LG0000630.1",10
"Dnig.1LG0000640.1",10
"Dnig.1LG0000650.1",19
"Dnig.1LG0000700.1",8
"Dnig.1LG0000720.1",7
"Dnig.1LG0000730.1",16
"Dnig.1LG0000750.1",6
"Dnig.1LG0000760.1",3
"Dnig.1LG0000770.1",12
"Dnig.1LG0000780.1",16
"Dnig.1LG0000790.1",12
"Dnig.1LG0000820.1",19
"Dnig.1LG0000830.1",1
"Dnig.1LG0000840.1",17
"Dnig.1LG0000860.1",7
"Dnig.1LG0000930.1",10
"Dnig.1LG0001020.1",15
"Dnig.1LG0001030.1",10
"Dnig.1LG0001040.1",6
"Dnig.1LG0001080.1",10
"Dnig.1LG0001150.1",20
"Dnig.1LG0001190.1",7
"Dnig.1LG0001200.1",14
"Dnig.1LG0001210.1",13
"Dnig.1LG0001220.1",10
"Dnig.1LG0001230.1",6
"Dnig.1LG0001260.1",14
"Dnig.1LG0001270.1",3
"Dnig.1LG0001280.1",16
"Dnig.1LG0001300.1",8
"Dnig.1LG0001310.1",1
"Dnig.1LG0001330.1",1
"Dnig.1LG0001350.1",20
"Dnig.1LG0001360.1",20
"Dnig.1LG0001380.1",17
"Dnig.1LG0001400.1",16
"Dnig.1LG0001460.1",15
"Dnig.1LG0001470.1",18
"Dnig.1LG0001480.1",7
"Dnig.1LG0001490.1",10
"Dnig.1LG0001500.1",20
"Dnig.1LG0001510.1",7
"Dnig.1LG0001540.1",12
"Dnig.1LG0001550.1",2
"Dnig.1LG0001560.1",7
"Dnig.1LG0001570.1",13
"Dnig.1LG0001580.1",5
"Dnig.1LG0001590.1",15
"Dnig.1LG0001620.1",7
"Dnig.1LG0001630.1",1
"Dnig.1LG0001650.1",13
"Dnig.1LG0001660.1",14
"Dnig.1LG0001690.1",12
"Dnig.1LG0001700.1",20
"Dnig.1LG0001830.1",20
"Dnig.1LG0001850.1",14
"Dnig.1LG0001860.1",3
"Dnig.1LG0001880.1",7
"Dnig.1LG0001890.1",3
"Dnig.1LG0001920.1",17
"Dnig.1LG0001930.1",4
"Dnig.1LG0001940.1",15
"Dnig.1LG0001970.1",7
"Dnig.1LG0001980.1",5
"Dnig.1LG0002000.1",13
"Dnig.1LG0002010.1",4
"Dnig.1LG0002020.1",4
"Dnig.1LG0002090.1",17
"Dnig.1LG0002100.1",6
"Dnig.1LG0002110.1",17
"Dnig.1LG0002120.1",13
"Dnig.1LG0002130.1",6
"Dnig.1LG0002140.1",9
"Dnig.1LG0002150.1",5
"Dnig.1LG0002170.1",20
"Dnig.1LG0002160.1",4
"Dnig.1LG0002180.1",9
"Dnig.1LG0002210.1",6
"Dnig.1LG0002220.1",10
"Dnig.1LG0002230.1",16
"Dnig.1LG0002240.1",12
"Dnig.1LG0002260.1",17
"Dnig.1LG0002270.1",15
"Dnig.1LG0002280.1",13
"Dnig.1LG0002290.1",13
"Dnig.1LG0002300.1",20
"Dnig.1LG0002310.1",15
"Dnig.1LG0002330.1",17
"Dnig.1LG0002360.1",9
"Dnig.1LG0002370.1",19
"Dnig.1LG0002410.1",10
"Dnig.1LG0002430.1",16
"Dnig.1LG0002450.1",10
"Dnig.1LG0002460.1",3
"Dnig.1LG0002540.1",3
"Dnig.1LG0002550.1",10
"Dnig.1LG0002560.1",17
"Dnig.1LG0002600.1",6
"Dnig.1LG0002610.1",13
"Dnig.1LG0002620.1",3
"Dnig.1LG0002640.1",12
"Dnig.1LG0002680.1",14
"Dnig.1LG0002700.1",17
"Dnig.1LG0002710.1",15
"Dnig.1LG0002720.1",4
"Dnig.1LG0002730.1",12
"Dnig.1LG0002740.1",10
"Dnig.1LG0002750.1",10
"Dnig.1LG0002760.1",10
"Dnig.1LG0002850.1",8
"Dnig.1LG0002860.1",5
"Dnig.1LG0002870.1",10
"Dnig.1LG0002890.1",10
"Dnig.1LG0002930.1",17
"Dnig.1LG0002940.1",4
"Dnig.1LG0002980.1",10
"Dnig.1LG0003010.1",17
"Dnig.1LG0003030.1",9
"Dnig.1LG0003080.1",15
"Dnig.1LG0003110.1",16
"Dnig.1LG0003120.1",3
"Dnig.1LG0003130.1",12
"Dnig.1LG0003140.1",16
"Dnig.1LG0003150.1",2
"Dnig.1LG0003180.1",3
"Dnig.1LG0003190.1",7
"Dnig.1LG0003200.1",13
"Dnig.1LG0003210.1",6
"Dnig.1LG0003220.1",20
"Dnig.1LG0003290.1",15
"Dnig.1LG0003300.1",20
"Dnig.1LG0003310.1",12
"Dnig.1LG0003320.1",7
"Dnig.1LG0003330.1",14
"Dnig.1LG0003350.1",15
"Dnig.1LG0003360.1",15
"Dnig.1LG0003370.1",6
"Dnig.1LG0003400.1",6
"Dnig.1LG0003440.1",8
"Dnig.1LG0003460.1",2
"Dnig.1LG0003520.1",10
"Dnig.1LG0003530.1",6
"Dnig.1LG0003540.1",10
"Dnig.1LG0003560.1",20
"Dnig.1LG0003570.1",13
"Dnig.1LG0003580.1",10
"Dnig.1LG0003610.1",12
"Dnig.1LG0003630.1",10
"Dnig.1LG0003640.1",10
"Dnig.1LG0003650.1",6
"Dnig.1LG0003660.1",3
"Dnig.1LG0003670.1",15
"Dnig.1LG0003710.1",10
"Dnig.1LG0003730.1",6
"Dnig.1LG0003740.1",4
"Dnig.1LG0003750.1",3
"Dnig.1LG0003760.1",9
"Dnig.1LG0003770.1",16
"Dnig.1LG0003790.1",1
"Dnig.1LG0003800.1",16
"Dnig.1LG0003810.1",2
"Dnig.1LG0003820.1",16
"Dnig.1LG0003830.1",13
"Dnig.1LG0003940.1",20
"Dnig.1LG0004020.1",3
"Dnig.1LG0004060.1",6
"Dnig.1LG0004070.1",9
"Dnig.1LG0004080.1",3
"Dnig.1LG0004110.1",3
"Dnig.1LG0004130.1",8
"Dnig.1LG0004140.1",4
"Dnig.1LG0004170.1",9
"Dnig.1LG0004160.1",14
"Dnig.1LG0004180.1",6
"Dnig.1LG0004190.1",5
"Dnig.1LG0004200.1",20
"Dnig.1LG0004210.1",15
"Dnig.1LG0004230.1",12
"Dnig.1LG0004240.1",19
"Dnig.1LG0004250.1",5
"Dnig.1LG0004320.1",5
"Dnig.1LG0004440.1",10
"Dnig.1LG0004450.1",6
"Dnig.1LG0004460.1",19
"Dnig.1LG0004500.1",13
"Dnig.1LG0004510.1",14
"Dnig.1LG0004530.1",13
"Dnig.1LG0004540.1",3
"Dnig.1LG0004630.1",20
"Dnig.1LG0004650.1",17
"Dnig.1LG0004660.1",12
"Dnig.1LG0004670.1",19
"Dnig.1LG0004680.1",19
"Dnig.1LG0004780.1",4
"Dnig.1LG0004790.1",17
"Dnig.1LG0004800.1",2
"Dnig.1LG0004830.1",5
"Dnig.1LG0004840.1",5
"Dnig.1LG0004870.1",18
"Dnig.1LG0004880.1",20
"Dnig.1LG0004890.1",12
"Dnig.1LG0004900.1",8
"Dnig.1LG0004910.1",14
"Dnig.1LG0004920.1",7
"Dnig.1LG0004930.1",19
"Dnig.1LG0004940.1",19
"Dnig.1LG0004950.1",16
"Dnig.1LG0004960.1",11
"Dnig.1LG0004970.1",2
"Dnig.1LG0004980.1",7
"Dnig.1LG0004990.1",7
"Dnig.1LG0005000.1",12
"Dnig.1LG0005010.1",14
"Dnig.1LG0005020.1",10
"Dnig.1LG0005030.1",17
"Dnig.1LG0005040.1",20
"Dnig.1LG0005050.1",5
"Dnig.1LG0005070.1",18
"Dnig.1LG0005080.1",7
"Dnig.1LG0005090.1",4
"Dnig.1LG0005110.1",13
"Dnig.1LG0005120.1",12
"Dnig.1LG0005150.1",3
"Dnig.1LG0005160.1",17
"Dnig.1LG0005190.1",12
"Dnig.1LG0005210.1",17
"Dnig.1LG0005270.1",12
"Dnig.1LG0005300.1",10
"Dnig.1LG0005360.1",9
"Dnig.1LG0005370.1",12
"Dnig.1LG0005390.1",13
"Dnig.1LG0005410.1",20
"Dnig.1LG0005420.1",16
"Dnig.1LG0005430.1",15
"Dnig.1LG0005440.1",20
"Dnig.1LG0005480.1",19
"Dnig.1LG0005520.2",20
"Dnig.1LG0005530.1",5
"Dnig.1LG0005540.1",3
"Dnig.1LG0005550.1",10
"Dnig.1LG0005560.1",13
"Dnig.1LG0005570.1",10
"Dnig.1LG0005590.1",18
"Dnig.1LG0005600.1",10
"Dnig.1LG0005610.1",5
"Dnig.1LG0005620.1",15
"Dnig.1LG0005630.1",6
"Dnig.1LG0005650.1",18
"Dnig.1LG0005640.1",13
"Dnig.1LG0005660.1",9
"Dnig.1LG0005670.1",5
"Dnig.1LG0005680.1",6
"Dnig.1LG0005690.1",17
"Dnig.1LG0005700.1",9
"Dnig.1LG0005730.1",17
"Dnig.1LG0005740.1",20
"Dnig.1LG0005750.1",4
"Dnig.1LG0005760.1",12
"Dnig.1LG0005770.1",11
"Dnig.1LG0005790.1",15
"Dnig.1LG0005800.1",5
"Dnig.1LG0005810.1",9
"Dnig.1LG0005830.1",18
"Dnig.1LG0005850.1",17
"Dnig.1LG0005860.1",5
"Dnig.1LG0005870.1",5
"Dnig.1LG0005880.1",3
"Dnig.1LG0005890.1",17
"Dnig.1LG0005900.1",6
"Dnig.1LG0005920.1",4
"Dnig.1LG0005930.1",20
"Dnig.1LG0005940.1",5
"Dnig.1LG0005950.1",8
"Dnig.1LG0005960.1",20
"Dnig.1LG0006010.1",14
"Dnig.1LG0006020.1",15
"Dnig.1LG0006030.1",17
"Dnig.1LG0006040.1",20
"Dnig.1LG0006050.1",12
"Dnig.1LG0006060.1",7
"Dnig.1LG0006070.1",17
"Dnig.1LG0006080.1",15
"Dnig.1LG0006090.1",2
"Dnig.1LG0006100.1",14
"Dnig.1LG0006110.1",15
"Dnig.1LG0006120.1",6
"Dnig.1LG0006140.1",13
"Dnig.1LG0006150.1",15
"Dnig.1LG0006180.1",13
"Dnig.1LG0006190.1",8
"Dnig.1LG0006200.1",20
"Dnig.1LG0006220.1",11
"Dnig.1LG0006250.1",5
"Dnig.1LG0006260.1",2
"Dnig.1LG0006330.1",12
"Dnig.1LG0006340.1",4
"Dnig.1LG0006350.1",12
"Dnig.1LG0006380.1",8
"Dnig.1LG0006390.1",10
"Dnig.1LG0006440.1",19
"Dnig.1LG0006450.1",14
"Dnig.1LG0006480.1",3
"Dnig.1LG0006490.1",9
"Dnig.1LG0006500.1",12
"Dnig.1LG0006560.1",6
"Dnig.1LG0006570.1",4
"Dnig.1LG0006580.1",14
"Dnig.1LG0006590.1",13
"Dnig.1LG0006600.1",12
"Dnig.1LG0006620.1",3
"Dnig.1LG0006650.1",16
"Dnig.1LG0006660.1",17
"Dnig.1LG0006680.1",3
"Dnig.1LG0006690.1",12
"Dnig.1LG0006700.1",20
"Dnig.1LG0006720.1",7
"Dnig.1LG0006730.1",6
"Dnig.1LG0006740.1",4
"Dnig.1LG0006760.1",2
"Dnig.1LG0006780.1",16
"Dnig.1LG0006790.1",15
"Dnig.1LG0006810.1",3
"Dnig.1LG0006850.1",8
"Dnig.1LG0006860.1",13
"Dnig.1LG0006870.1",15
"Dnig.1LG0006890.1",16
"Dnig.1LG0006910.1",19
"Dnig.1LG0006920.1",16
"Dnig.1LG0006930.1",19
"Dnig.1LG0006940.1",7
"Dnig.1LG0006950.1",11
"Dnig.1LG0007010.1",20
"Dnig.1LG0007020.1",1
"Dnig.1LG0007060.1",8
"Dnig.1LG0007090.1",4
"Dnig.1LG0007100.1",4
"Dnig.1LG0007110.1",1
"Dnig.1LG0007130.1",8
"Dnig.1LG0007150.1",10
"Dnig.1LG0007160.1",10
"Dnig.1LG0007170.1",19
"Dnig.1LG0007180.1",16
"Dnig.1LG0007190.1",8
"Dnig.1LG0007210.1",4
"Dnig.1LG0007240.1",7
"Dnig.1LG0007250.1",9
"Dnig.1LG0007260.1",20
"Dnig.1LG0007270.1",18
"Dnig.1LG0007320.1",10
"Dnig.1LG0007330.1",4
"Dnig.1LG0007340.1",10
"Dnig.1LG0007430.1",1
"Dnig.1LG0007450.1",17
"Dnig.1LG0007460.1",17
"Dnig.1LG0007490.1",10
"Dnig.1LG0007510.1",4
"Dnig.1LG0007520.1",12
"Dnig.1LG0007540.1",6
"Dnig.1LG0007560.1",18
"Dnig.1LG0007570.1",5
"Dnig.1LG0007580.1",5
"Dnig.1LG0007630.1",7
"Dnig.1LG0007660.1",20
"Dnig.1LG0007670.1",16
"Dnig.1LG0007710.1",3
"Dnig.1LG0007730.1",4
"Dnig.1LG0007740.1",20
"Dnig.1LG0007750.1",9
"Dnig.1LG0007760.1",6
"Dnig.1LG0007780.1",1
"Dnig.1LG0007790.1",6
"Dnig.1LG0007820.1",2
"Dnig.1LG0007830.1",15
"Dnig.1LG0007880.1",15
"Dnig.1LG0007890.1",13
"Dnig.1LG0007900.1",15
"Dnig.1LG0007930.1",3
"Dnig.1LG0007950.1",6
"Dnig.1LG0007960.1",2
"Dnig.1LG0007990.1",10
"Dnig.1LG0008000.1",4
"Dnig.1LG0008010.1",12
"Dnig.1LG0008030.1",4
"Dnig.1LG0008040.1",8
"Dnig.1LG0008050.1",9
"Dnig.1LG0008060.1",10
"Dnig.1LG0008090.1",6
"Dnig.1LG0008100.1",12
"Dnig.1LG0008120.1",4
"Dnig.1LG0008130.1",7
"Dnig.1LG0008140.1",20
"Dnig.1LG0008150.1",5
"Dnig.1LG0008160.1",4
"Dnig.1LG0008170.1",18
"Dnig.1LG0008180.1",4
"Dnig.1LG0008200.1",13
"Dnig.1LG0008210.1",20
"Dnig.1LG0008220.1",20
"Dnig.1LG0008240.1",12
"Dnig.1LG0008260.1",13
"Dnig.1LG0008320.1",1
"Dnig.1LG0008330.1",12
"Dnig.1LG0008340.1",5
"Dnig.1LG0008370.1",19
"Dnig.1LG0008380.1",11
"Dnig.1LG0008410.1",10
"Dnig.1LG0008420.1",1
"Dnig.1LG0008430.1",2
"Dnig.1LG0008440.1",13
"Dnig.1LG0008450.1",9
"Dnig.1LG0008470.1",3
"Dnig.1LG0008490.1",3
"Dnig.1LG0008580.1",19
"Dnig.1LG0008660.1",4
"Dnig.1LG0008690.1",16
"Dnig.1LG0008720.1",14
"Dnig.1LG0008730.1",14
"Dnig.1LG0008740.1",1
"Dnig.1LG0008750.1",15
"Dnig.1LG0008770.1",5
"Dnig.1LG0008780.1",18
"Dnig.1LG0008800.1",5
"Dnig.1LG0008890.1",13
"Dnig.1LG0008900.1",17
"Dnig.1LG0008910.1",2
"Dnig.1LG0008960.1",12
"Dnig.1LG0009060.1",18
"Dnig.1LG0009080.1",18
"Dnig.1LG0009160.1",20
"Dnig.1LG0009190.1",1
"Dnig.1LG0009210.1",11
"Dnig.1LG0009220.1",20
"Dnig.1LG0009230.1",10
"Dnig.1LG0009240.1",12
"Dnig.1LG0009270.1",3
"Dnig.1LG0009290.1",1
"Dnig.1LG0009310.1",12
"Dnig.1LG0009320.1",8
"Dnig.1LG0009330.1",3
"Dnig.1LG0009340.1",1
"Dnig.1LG0009360.1",5
"Dnig.1LG0009370.1",20
"Dnig.1LG0009380.1",11
"Dnig.1LG0009390.1",11
"Dnig.1LG0009420.1",3
"Dnig.1LG0009430.1",17
"Dnig.1LG0009450.1",11
"Dnig.1LG0009460.1",18
"Dnig.1LG0009470.1",18
"Dnig.1LG0009490.1",12
"Dnig.1LG0009500.1",12
"Dnig.1LG0009510.1",10
"Dnig.1LG0009540.1",18
"Dnig.1LG0009550.1",12
"Dnig.1LG0009580.1",15
"Dnig.1LG0009590.1",11
"Dnig.1LG0009600.1",8
"Dnig.1LG0009610.1",13
"Dnig.1LG0009620.1",20
"Dnig.1LG0009630.1",16
"Dnig.1LG0009650.1",6
"Dnig.1LG0009660.1",7
"Dnig.1LG0009680.1",15
"Dnig.1LG0009690.1",6
"Dnig.1LG0009700.1",4
"Dnig.1LG0009710.1",1
"Dnig.1LG0009720.1",17
"Dnig.1LG0009730.1",13
"Dnig.1LG0009750.1",11
"Dnig.1LG0009760.1",2
"Dnig.1LG0009820.1",12
"Dnig.1LG0009840.1",13
"Dnig.1LG0009850.1",10
"Dnig.1LG0009890.1",5
"Dnig.1LG0009900.1",17
"Dnig.1LG0009920.1",16
"Dnig.1LG0009930.1",3
"Dnig.1LG0009940.1",14
"Dnig.1LG0009950.1",15
"Dnig.1LG0009960.1",20
"Dnig.1LG0009970.1",17
"Dnig.1LG0009980.1",18
"Dnig.1LG0009990.1",2
"Dnig.1LG0010000.1",18
"Dnig.1LG0010010.1",18
"Dnig.1LG0010050.1",4
"Dnig.1LG0010060.1",4
"Dnig.1LG0010070.1",15
"Dnig.1LG0010120.1",2
"Dnig.1LG0010140.1",2
"Dnig.1LG0010150.1",9
"Dnig.1LG0010220.1",12
"Dnig.1LG0010230.1",14
"Dnig.1LG0010250.1",6
"Dnig.1LG0010260.1",7
"Dnig.1LG0010300.1",18
"Dnig.1LG0010350.1",9
"Dnig.1LG0010420.1",4
"Dnig.1LG0010430.1",7
"Dnig.1LG0010440.1",19
"Dnig.1LG0010450.1",10
"Dnig.1LG0010460.1",5
"Dnig.1LG0010490.1",7
"Dnig.1LG0010500.1",3
"Dnig.1LG0010510.1",12
"Dnig.1LG0010520.1",10
"Dnig.1LG0010540.1",6
"Dnig.1LG0010560.1",12
"Dnig.1LG0010570.1",19
"Dnig.1LG0010580.1",13
"Dnig.1LG0010590.1",16
"Dnig.1LG0010600.1",2
"Dnig.1LG0010610.1",20
"Dnig.1LG0010650.1",3
"Dnig.1LG0010660.1",3
"Dnig.1LG0010770.1",19
"Dnig.1LG0010790.1",7
"Dnig.1LG0010800.1",6
"Dnig.1LG0010810.1",18
"Dnig.1LG0011010.1",5
"Dnig.1LG0011020.1",16
"Dnig.1LG0011050.1",17
"Dnig.1LG0011090.1",5
"Dnig.1LG0011100.1",13
"Dnig.1LG0011110.1",10
"Dnig.1LG0011120.1",13
"Dnig.1LG0011130.1",15
"Dnig.1LG0011140.1",10
"Dnig.1LG0011180.1",13
"Dnig.1LG0011190.1",8
"Dnig.1LG0011200.1",11
"Dnig.1LG0011210.1",7
"Dnig.1LG0011230.1",19
"Dnig.1LG0011240.1",7
"Dnig.1LG0011250.1",13
"Dnig.1LG0011260.1",13
"Dnig.1LG0011310.2",11
"Dnig.1LG0011320.1",15
"Dnig.1LG0011350.1",6
"Dnig.1LG0011360.1",13
"Dnig.1LG0011370.1",8
"Dnig.1LG0011380.1",16
"Dnig.1LG0011400.1",6
"Dnig.1LG0011450.1",13
"Dnig.1LG0011640.2",5
"Dnig.1LG0011890.1",12
"Dnig.1LG0011900.1",17
"Dnig.1LG0011910.1",14
"Dnig.1LG0011920.1",12
"Dnig.1LG0011930.1",12
"Dnig.1LG0011940.1",17
"Dnig.1LG0011950.1",5
"Dnig.1LG0012000.1",12
"Dnig.1LG0012030.1",17
"Dnig.1LG0012040.1",14
"Dnig.1LG0012050.1",17
"Dnig.1LG0012060.1",1
"Dnig.1LG0012110.1",15
"Dnig.1LG0012130.1",3
"Dnig.1LG0012160.1",2
"Dnig.1LG0012190.1",19
"Dnig.1LG0012200.1",4
"Dnig.1LG0012230.1",1
"Dnig.1LG0012250.1",8
"Dnig.1LG0012260.1",8
"Dnig.1LG0012290.1",17
"Dnig.1LG0012300.1",15
"Dnig.1LG0012320.1",9
"Dnig.1LG0012330.1",13
"Dnig.1LG0012350.1",6
"Dnig.1LG0012360.1",13
"Dnig.1LG0012400.1",7
"Dnig.1LG0012410.1",2
"Dnig.1LG0012420.1",12
"Dnig.1LG0012430.1",12
"Dnig.1LG0012440.1",6
"Dnig.1LG0012450.1",18
"Dnig.1LG0012510.1",15
"Dnig.1LG0012560.1",2
"Dnig.1LG0012580.1",13
"Dnig.1LG0012600.1",9
"Dnig.1LG0012620.1",18
"Dnig.1LG0012630.1",19
"Dnig.1LG0012700.1",11
"Dnig.1LG0012740.1",8
"Dnig.1LG0012770.1",11
"Dnig.1LG0012780.1",11
"Dnig.1LG0012790.1",1
"Dnig.1LG0012950.1",5
"Dnig.1LG0012960.1",12
"Dnig.1LG0012990.1",6
"Dnig.1LG0013010.1",13
"Dnig.1LG0013040.1",19
"Dnig.1LG0013060.1",1
"Dnig.1LG0013080.1",5
"Dnig.1LG0013160.1",11
"Dnig.1LG0013200.1",4
"Dnig.1LG0013290.1",13
"Dnig.1LG0013360.1",6
"Dnig.1LG0013430.1",7
"Dnig.1LG0013450.1",9
"Dnig.1LG0013460.1",9
"Dnig.1LG0013490.1",1
"Dnig.1LG0013500.1",9
"Dnig.1LG0013520.1",7
"Dnig.1LG0013530.1",11
"Dnig.1LG0013550.1",1
"Dnig.1LG0013560.1",16
"Dnig.1LG0013600.1",13
"Dnig.1LG0013670.1",8
"Dnig.1LG0013680.1",16
"Dnig.1LG0013710.1",6
"Dnig.1LG0013730.1",2
"Dnig.1LG0013740.1",11
"Dnig.1LG0013760.1",18
"Dnig.1LG0013770.1",1
"Dnig.1LG0013810.1",11
"Dnig.1LG0013820.1",18
"Dnig.1LG0013850.1",11
"Dnig.1LG0013860.1",15
"Dnig.1LG0013870.1",6
"Dnig.1LG0013880.1",11
"Dnig.1LG0013890.1",19
"Dnig.1LG0013910.1",16
"Dnig.1LG0013930.1",9
"Dnig.1LG0013940.1",8
"Dnig.1LG0013950.1",7
"Dnig.1LG0013970.1",7
"Dnig.1LG0014010.1",14
"Dnig.1LG0014040.1",16
"Dnig.1LG0014100.1",19
"Dnig.1LG0014080.1",8
"Dnig.1LG0014110.1",9
"Dnig.1LG0014120.1",7
"Dnig.1LG0014150.1",15
"Dnig.1LG0014160.1",5
"Dnig.1LG0014200.1",3
"Dnig.1LG0014210.1",3
"Dnig.1LG0014220.1",13
"Dnig.1LG0014230.1",15
"Dnig.1LG0014250.1",16
"Dnig.1LG0014270.1",11
"Dnig.1LG0014280.1",12
"Dnig.1LG0014290.1",18
"Dnig.1LG0014310.1",12
"Dnig.1LG0014420.1",19
"Dnig.1LG0014440.1",14
"Dnig.1LG0014470.1",6
"Dnig.1LG0014580.1",11
"Dnig.1LG0014620.1",11
"Dnig.1LG0014660.1",1
"Dnig.1LG0014680.1",4
"Dnig.1LG0014690.1",17
"Dnig.1LG0014720.1",3
"Dnig.1LG0014820.1",16
"Dnig.1LG0014890.1",16
"Dnig.1LG0015110.1",14
"Dnig.1LG0015120.1",9
"Dnig.1LG0015180.1",15
"Dnig.1LG0015230.1",6
"Dnig.1LG0015270.1",17
"Dnig.1LG0015280.1",12
"Dnig.1LG0015380.1",5
"Dnig.1LG0015390.1",6
"Dnig.1LG0015460.1",19
"Dnig.1LG0015500.1",1
"Dnig.1LG0015510.1",19
"Dnig.1LG0015520.1",3
"Dnig.1LG0015530.1",8
"Dnig.1LG0015560.1",8
"Dnig.1LG0015590.1",6
"Dnig.1LG0015600.1",11
"Dnig.1LG0015630.1",19
"Dnig.1LG0015640.1",13
"Dnig.1LG0015660.1",13
"Dnig.1LG0015670.1",9
"Dnig.1LG0015710.1",12
