gene_id,cluster,Dmel,Dmel_gene,Dmel_function,nr,uni_sprot,Description,Preferred_name,PFAMs
Dnig.1LG0000030.1,15,FBpp0074971,U4-U6-60K,U4-U6 small nuclear riboprotein factor 60K,XP_021926093.1,sp|Q3MHE2|PRP4_BOVIN,U4 U6 small nuclear ribonucleoprotein,PRPF4,"PRP4,WD40"
Dnig.1LG0000040.1,7,FBpp0070113,CG17829,No description,XP_033607638.1,sp|Q9BQA5|HINFP_HUMAN,regulation of transcription involved in G1/S transition of mitotic cell cycle,HINFP,"zf-C2H2,zf-C2H2_4"
Dnig.1LG0000050.1,15,FBpp0081310,CG10435,No description,XP_023720797.1,,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,UBAP1,UBA
Dnig.1LG0000060.1,12,FBpp0084012,CG18528,No description,XP_023705274.1,sp|Q501Z5|GTPB3_DANRE,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. TrmE GTPase family,GTPBP3,"MMR_HSR1,MnmE_helical,TrmE_N"
Dnig.1LG0000070.1,13,FBpp0071970,levy,levy,KAF6207232.1,sp|Q9TTT7|CX6A1_RABIT,Belongs to the cytochrome c oxidase subunit 6A family,COX6A1,COX6A
Dnig.1LG0000100.1,14,FBpp0085688,hpo,hippo,CCX34980.1,sp|Q8T0S6|HIPPO_DROME,It is involved in the biological process described with protein phosphorylation,-,"Mst1_SARAH,Pkinase"
Dnig.1LG0000110.1,13,,,,XP_023222012.1,sp|Q9ER35|FN3K_MOUSE,Fructosamine kinase,FN3KRP,Fructosamin_kin
Dnig.1LG0000120.1,12,,,,,,,,
Dnig.1LG0000140.1,1,FBpp0292240,Ank2,Ankyrin 2,XP_033609016.1,sp|G5E8K5|ANK3_MOUSE,It is involved in the biological process described with signal transduction,Ank,"Ank,Ank_2,Ank_3,Ank_4,Ank_5,Death,ZU5"
Dnig.1LG0000170.1,4,,,,PSN52226.1,,,,
Dnig.1LG0000210.1,6,FBpp0086157,GstS1,Glutathione S transferase S1,AHC08044.1,sp|O18598|GST1_BLAGE,"Glutathione S-transferase, C-terminal domain",-,"GST_C_3,GST_N"
Dnig.1LG0000280.1,11,FBpp0288697,yki,yorkie,XP_021937265.1,sp|Q1L8J7|YAP1_DANRE,Domain with 2 conserved Trp (W) residues,YAP1,WW
Dnig.1LG0000290.1,7,FBpp0308233,Gyg,Glycogenin,CAD7427208.1,sp|P13280|GLYG_RABIT,"Transferase activity, transferring glycosyl groups",GYG1,Glyco_transf_8
Dnig.1LG0000310.1,10,,,,PSN51117.1,,guanine nucleotide exchange factor,MCF2L,"CRAL_TRIO_2,PH,RhoGEF,SH3_1,Spectrin"
Dnig.1LG0000320.1,14,FBpp0309967,Upf3,Upf3,XP_021930983.1,sp|Q9H1J1|REN3A_HUMAN,Smg-4/UPF3 family,UPF3B,Smg4_UPF3
Dnig.1LG0000330.1,18,FBpp0083131,Prp18,Prp18,XP_023710084.1,sp|Q8BM39|PRP18_MOUSE,It is involved in the biological process described with RNA splicing,PRPF18,"PRP4,Prp18"
Dnig.1LG0000340.1,8,FBpp0086442,Gpo1,Glycerophosphate oxidase 1,XP_021916252.1,sp|A6QLU1|GPDM_BOVIN,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family,GPD2,"DAO,DAO_C,EF-hand_7"
Dnig.1LG0000360.1,2,,,,,,,,
Dnig.1LG0000380.1,15,FBpp0070006,CG9577,No description,XP_021928769.1,sp|Q62651|ECH1_RAT,catalytic activity. It is involved in the biological process described with metabolic process,ECH1,ECH_1
Dnig.1LG0000390.1,19,FBpp0085841,CG30122,No description,CAD7427144.1,sp|Q00839|HNRPU_HUMAN,Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation,HNRNPU,"AAA_33,SAP,SPRY"
Dnig.1LG0000400.1,9,FBpp0289916,CG11041,No description,CAD7593176.1,sp|Q9CQ46|DRC8_MOUSE,Calcium ion binding,EFCAB2,"EF-hand_7,EFhand_Ca_insen"
Dnig.1LG0000450.1,5,FBpp0081027,Nbr,Nibbler,XP_023715831.1,sp|Q179T2|MUT7_AEDAE,It is involved in the biological process described with nucleobase-containing compound metabolic process,EXD3,"DNA_pol_A_exo1,Mut7-C"
Dnig.1LG0000540.1,15,,,,,,,,
Dnig.1LG0000550.1,10,FBpp0305218,prel,preli-like,PSN37194.1,sp|Q9V579|PREL_DROME,PRELI-like family,PRELID1,PRELI
Dnig.1LG0000580.1,13,FBpp0072234,Pof,Painting of fourth,CAD7413397.1,sp|Q9W123|POF_DROME,Nucleic acid binding,Pof,RRM_1
Dnig.1LG0000620.1,12,FBpp0084133,bai,baiser,XP_023704790.1,sp|B4MGF8|TMEDA_DROVI,emp24/gp25L/p24 family/GOLD,TMED10,EMP24_GP25L
Dnig.1LG0000630.1,7,FBpp0071476,CG3295,No description,XP_023711897.1,sp|Q640V2|RMD5A_XENTR,Protein RMD5 homolog,RMND5A,"CLTH,zf-RING_UBOX"
Dnig.1LG0000640.1,7,FBpp0088362,CG10638,No description,VEN45943.1,sp|Q9JII6|AK1A1_MOUSE,Aldo/keto reductase family,AKR1A1,Aldo_ket_red
Dnig.1LG0000650.1,16,FBpp0075870,Akr1B,Aldo-keto reductase 1B,XP_023711925.1,sp|O60218|AK1BA_HUMAN,activity. It is involved in the biological process described with oxidation-reduction process,AKR1A1,Aldo_ket_red
Dnig.1LG0000700.1,13,FBpp0086264,Alk,Anaplastic lymphoma kinase,KDR10634.1,sp|Q9UM73|ALK_HUMAN,transmembrane receptor protein tyrosine kinase activity. It is involved in the biological process described with protein phosphorylation,ALK,"Gly_rich,Ldl_recept_a,MAM,Pkinase_Tyr"
Dnig.1LG0000720.1,20,FBpp0079946,CG6712,No description,CAD7454510.1,sp|Q9VKB4|RPF1_DROME,ribosome production factor,F44G4.1,Brix
Dnig.1LG0000730.1,19,FBpp0072494,Sf3b3,Splicing factor 3b subunit 3,XP_023726197.1,sp|Q15393|SF3B3_HUMAN,nucleic acid binding,SF3B3,"CPSF_A,MMS1_N"
Dnig.1LG0000750.1,16,FBpp0072036,gbb,glass bottom boat,XP_012262652.1,sp|P27091|60A_DROME,Transforming growth  factor-beta (TGF-beta) family,BMP5,"TGF_beta,TGFb_propeptide"
Dnig.1LG0000760.1,8,FBpp0289830,Patronin,Patronin,XP_021925922.1,sp|A1ZAU8|PTRO_DROME,Microtubule binding,-,"CAMSAP_CC1,CAMSAP_CH,CAMSAP_CKK"
Dnig.1LG0000770.1,17,FBpp0077033,CG17068,No description,XP_023714747.1,sp|Q8K2J9|BTBD6_MOUSE,"Broad-Complex, Tramtrack and Bric a brac",-,"BACK,BTB"
Dnig.1LG0000780.1,19,FBpp0072151,Ssrp,Structure specific recognition protein,GFG35892.1,sp|Q293F6|SSRP1_DROPS,"Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II",SSRP1,"HMG_box,POB3_N,Rtt106,SSrecog"
Dnig.1LG0000790.1,17,FBpp0075680,Hip1,Huntingtin interacting protein 1,XP_023722261.1,sp|O00291|HIP1_HUMAN,I/LWEQ domain,HIP1,"ANTH,HIP1_clath_bdg,I_LWEQ"
